rank,url,slug,locale,category,clicks,impressions,ctr,position,post_id,title,has_placeholder,date,featured_image
331,https://www.afriquesports.net/football/drame-en-equateur-ex-international-tue-avec-sa-femme-devant-une-boucherie,drame-en-equateur-ex-international-tue-avec-sa-femme-devant-une-boucherie,fr,football,53,1640,3.23,4.1,870248,Drame en Équateur : ex-international tué avec sa femme devant une boucherie !,true,2025-12-27,
332,https://www.afriquesports.net/football/messi-surprend-tout-le-monde-avec-sa-selection-des-10-jeunes-talents-yamal-exclu,messi-surprend-tout-le-monde-avec-sa-selection-des-10-jeunes-talents-yamal-exclu,fr,football,53,2776,1.91,5.9,863719,"Messi surprend tout le monde avec sa sélection des 10 jeunes talents, Yamal exclu !",true,2026-01-02,
333,https://www.afriquesports.net/football/video-le-premier-but-incroyable-dethan-mbappe-en-professionnel-avec-lille,video-le-premier-but-incroyable-dethan-mbappe-en-professionnel-avec-lille,fr,football,53,2000,2.65,11.5,859296,VIDÉO : Le premier but incroyable d’Ethan Mbappé en professionnel avec Lille,true,2026-01-01,
335,https://www.afriquesports.net/afrique/coupe-du-monde-2026-la-raison-derriere-lexclusion-du-burkina-faso-des-barrages-revelee,coupe-du-monde-2026-la-raison-derriere-lexclusion-du-burkina-faso-des-barrages-revelee,fr,afrique,52,2068,2.51,7.0,863670,Coupe du Monde 2026 : la raison derrière l’élimination du Burkina Faso des barrages révélée !,true,2026-01-02,
336,https://www.afriquesports.net/coupe-du-monde/coupe-du-monde-2026-le-guide-complet-des-barrages,coupe-du-monde-2026-le-guide-complet-des-barrages,fr,coupe-du-monde,52,4412,1.18,16.8,858734,Coupe du Monde 2026 : le guide complet des barrages,true,2026-01-02,
339,https://www.afriquesports.net/football/kubo-27e-ansu-fati-8e-le-classement-des-50-meilleurs-joueurs-nes-en-2001-ou-apres,kubo-27e-ansu-fati-8e-le-classement-des-50-meilleurs-joueurs-nes-en-2001-ou-apres,fr,football,52,2694,1.93,9.2,253931,"Kubo 27e, Ansu Fati 8e&#8230; le classement des 50 meilleurs joueurs nés en 2001 ou après",true,2025-12-25,
340,https://www.afriquesports.net/actualites/tres-mauvaise-nouvelle-pour-le-barca-et-pedri-juste-avant-2026,tres-mauvaise-nouvelle-pour-le-barca-et-pedri-juste-avant-2026,fr,actualites,51,1791,2.85,3.2,870211,Très mauvaise nouvelle pour le Barça et Pedri juste avant 2026 !,true,2026-01-02,
341,https://www.afriquesports.net/afrique/can-2025-le-verdict-tombe-la-caf-a-officiellement-tranche-pour-la-guinee,can-2025-le-verdict-tombe-la-caf-a-officiellement-tranche-pour-la-guinee,fr,afrique,51,1785,2.86,8.6,861023,"CAN 2025 : Le verdict tombe, la CAF a officiellement tranché pour la Guinée !",true,2026-01-02,
342,https://www.afriquesports.net/classement/zidane-3e-modric-9e-le-classement-des-10-meilleurs-milieux-de-terrain-au-21e-siecle,zidane-3e-modric-9e-le-classement-des-10-meilleurs-milieux-de-terrain-au-21e-siecle,fr,classement,51,934,5.46,7.1,502916,"Zidane 3e, Modric 9e, le classement des 10 meilleurs milieux de terrain au 21e siècle",true,2025-12-31,
345,https://www.afriquesports.net/football/ce-sont-les-4-joueurs-les-plus-techniques-du-real-courtois-ecarte-benzema-et-vinicius,ce-sont-les-4-joueurs-les-plus-techniques-du-real-courtois-ecarte-benzema-et-vinicius,fr,football,51,934,5.46,8.5,459803,"«Ce sont les 4 joueurs les plus techniques du Real», Courtois écarte Benzema et Vinicius",true,2026-01-02,
