rank,url,slug,locale,category,clicks,impressions,ctr,position,post_id,title,has_placeholder,date,featured_image,is_working
155,https://www.afriquesports.net/football/19-legendes-ont-tranche-entre-cristiano-ronaldo-et-lionel-messi-13-a-6,19-legendes-ont-tranche-entre-cristiano-ronaldo-et-lionel-messi-13-a-6,fr,football,108,6799,1.59,29.5,,,,,,False
157,https://www.afriquesports.net/football/voici-les-5-footballeurs-du-moment-qui-ont-le-meilleur-controle-rapproche-au-monde,voici-les-5-footballeurs-du-moment-qui-ont-le-meilleur-controle-rapproche-au-monde,fr,football,106,4192,2.53,9.0,,,,,,False
158,https://www.afriquesports.net/afrique/salaires-exorbitants-contrats-en-or-voici-la-grosse-fortune-de-vincent-aboubakar,salaires-exorbitants-contrats-en-or-voici-la-grosse-fortune-de-vincent-aboubakar,fr,afrique,104,4193,2.48,11.8,,,,,,False
163,https://www.afriquesports.net/football/can-2025-lalgerie-perd-chergui-hadjam-incertain-ap-af-1767009646076,can-2025-lalgerie-perd-chergui-hadjam-incertain-ap-af-1767009646076,fr,football,103,2888,3.57,4.0,,,,,,False
165,https://www.afriquesports.net/afrique/mondial-2026-la-fifa-prend-une-decision-ferme-pour-le-benin,mondial-2026-la-fifa-prend-une-decision-ferme-pour-le-benin,fr,afrique,101,1560,6.47,8.2,,,,,,False
172,https://www.afriquesports.net/football/maroc-comores-match-ouverture-can-2025-2,maroc-comores-match-ouverture-can-2025-2,fr,football,100,11630,0.86,6.0,,,,,,False
177,https://www.afriquesports.net/category/afrique-sports-tv,afrique-sports-tv,fr,category,98,6465,1.52,4.9,,,,,,False
180,https://www.afriquesports.net/afrique/maroc/terrible-nouvelle-maroc-en-deuil-un-jeune-footballeur-marocain-abattu-par-la-marine-algerienne,terrible-nouvelle-maroc-en-deuil-un-jeune-footballeur-marocain-abattu-par-la-marine-algerienne,fr,afrique,96,3763,2.55,10.6,,,,,,False
181,https://www.afriquesports.net/afrique/gros-salaires-immeubles-decouvrez-la-fortune-delirante-de-gervinho,gros-salaires-immeubles-decouvrez-la-fortune-delirante-de-gervinho,fr,afrique,95,1632,5.82,7.0,,,,,,False
185,https://www.afriquesports.net/football/can-2025-ndala-arbitre-le-match-douverture-maroc-c-af-1766314914489,can-2025-ndala-arbitre-le-match-douverture-maroc-c-af-1766314914489,fr,football,93,8945,1.04,5.9,,,,,,False
187,https://www.afriquesports.net/classement/lewandowski-8e-pele-5e-messi-les-10-meilleurs-buteurs-de-lhistoire-du-football,lewandowski-8e-pele-5e-messi-les-10-meilleurs-buteurs-de-lhistoire-du-football,fr,classement,92,18687,0.49,40.7,,,,,,False
201,https://www.afriquesports.net/afrique/cameroun/officiel-voici-la-liste-du-cameroun-pour-le-barrage-contre-la-rd-congo,officiel-voici-la-liste-du-cameroun-pour-le-barrage-contre-la-rd-congo,fr,afrique,87,6539,1.33,10.9,,,,,,False
211,https://www.afriquesports.net/football/ibrahim-maza-performance-eclatante-leloge-de-samir-af-1767213013817,ibrahim-maza-performance-eclatante-leloge-de-samir-af-1767213013817,fr,football,84,2622,3.20,6.2,,,,,,False
215,https://www.afriquesports.net/football/comment-santiago-munez-est-devenu-le-plus-grand-footballeur-fictif-de-tous-les-temps,comment-santiago-munez-est-devenu-le-plus-grand-footballeur-fictif-de-tous-les-temps,fr,football,83,7603,1.09,12.1,,,,,,False
220,https://www.afriquesports.net/afrique/cameroun/cameroun-vincent-aboubakar-amasse-une-tres-grosse-fortune,cameroun-vincent-aboubakar-amasse-une-tres-grosse-fortune,fr,afrique,80,4582,1.75,18.3,,,,,,False
221,https://www.afriquesports.net/afrique/cameroun/la-fifa-tranche-et-rend-son-verdict-pour-samuel-etoo,la-fifa-tranche-et-rend-son-verdict-pour-samuel-etoo,fr,afrique,80,3257,2.46,15.8,,,,,,False
228,https://www.afriquesports.net/afrique/senegal/a-quelques-mois-de-la-can-une-mauvaise-nouvelle-tombe-pour-krepin-diatta,a-quelques-mois-de-la-can-une-mauvaise-nouvelle-tombe-pour-krepin-diatta,fr,afrique,78,1405,5.55,8.3,,,,,,False
236,https://www.afriquesports.net/en/ranking/ederson-2nd-onana-the-ranking-of-the-best-goalkeepers-specialising-in-footwork,ederson-2nd-onana-the-ranking-of-the-best-goalkeepers-specialising-in-footwork,en,ranking,76,1556,4.88,19.4,,,,,,False
238,https://www.afriquesports.net/football/foot/lhistoire-derriere-la-cicatrice-de-tete-du-defenseur-de-man-utd-alex-telles,lhistoire-derriere-la-cicatrice-de-tete-du-defenseur-de-man-utd-alex-telles,fr,football,76,676,11.24,26.6,,,,,,False
246,https://www.afriquesports.net/football/pele-3e-zidane-8e-le-nouveau-classement-des-100-meilleurs-joueurs-de-tous-les-temps,pele-3e-zidane-8e-le-nouveau-classement-des-100-meilleurs-joueurs-de-tous-les-temps,fr,football,74,10788,0.69,52.4,,,,,,False
249,https://www.afriquesports.net/afrique/senegal/senegal-soudan-gros-problemes-en-interne-a-la-fsf-avant-le-match,senegal-soudan-gros-problemes-en-interne-a-la-fsf-avant-le-match,fr,afrique,72,2829,2.55,16.3,,,,,,False
253,https://www.afriquesports.net/afrique/seydou-keita-limpressionnante-fortune-de-lex-star-du-barca-qui-cree-de-lemploi-au-mali,seydou-keita-limpressionnante-fortune-de-lex-star-du-barca-qui-cree-de-lemploi-au-mali,fr,afrique,71,2603,2.73,7.9,,,,,,False
256,https://www.afriquesports.net/afrique/senegal/equipe-du-senegal-le-verdict-est-tombe-pour-malick-thiaw,equipe-du-senegal-le-verdict-est-tombe-pour-malick-thiaw,fr,afrique,70,1133,6.18,9.0,,,,,,False
257,https://www.afriquesports.net/article-du-jour/voitures-de-luxe-jet-prive-salaire-mirobolant-la-fortune-colossale-daubameyang,voitures-de-luxe-jet-prive-salaire-mirobolant-la-fortune-colossale-daubameyang,fr,article-du-jour,70,5136,1.36,11.1,,,,,,False
262,https://www.afriquesports.net/afrique/senegal/senegal-rdc-grosse-polemique-apres-un-but-refuse,senegal-rdc-grosse-polemique-apres-un-but-refuse,fr,afrique,68,1137,5.98,10.4,,,,,,False
